"date","sentiment","count"
"2025-03-30","negative","1"
"2025-03-31","neutral","1"
"2025-04-01","negative","2"
"2025-04-01","neutral","4"
"2025-04-02","negative","1"
"2025-04-02","neutral","1"
"2025-04-02","positive","1"
"2025-04-03","negative","1"
"2025-04-03","neutral","1"
"2025-04-04","negative","1"
"2025-04-04","neutral","4"
"2025-04-04","positive","3"
"2025-04-05","positive","1"
"2025-04-06","positive","1"
"2025-04-07","negative","3"
"2025-04-07","neutral","3"
"2025-04-07","positive","3"
"2025-04-08","negative","3"
"2025-04-08","neutral","4"
"2025-04-08","positive","3"
"2025-04-09","negative","3"
"2025-04-09","positive","1"
"2025-04-10","negative","1"
"2025-04-10","neutral","1"
"2025-04-10","positive","2"
"2025-04-11","negative","1"
"2025-04-11","neutral","2"
"2025-04-11","positive","6"
"2025-04-12","negative","2"
"2025-04-12","neutral","2"
"2025-04-12","positive","2"
"2025-04-13","neutral","3"
"2025-04-13","positive","1"
"2025-04-14","neutral","1"
"2025-04-14","positive","3"
"2025-04-15","negative","4"
"2025-04-15","positive","4"
"2025-04-16","negative","3"
"2025-04-16","neutral","1"
"2025-04-16","positive","6"
"2025-04-17","negative","4"
"2025-04-17","neutral","4"
"2025-04-17","positive","1"
"2025-04-18","negative","3"
"2025-04-18","positive","1"
"2025-04-19","negative","1"
"2025-04-19","neutral","1"
"2025-04-19","positive","1"
"2025-04-20","negative","1"
"2025-04-21","negative","1"
"2025-04-21","neutral","1"
"2025-04-21","positive","4"
"2025-04-22","negative","5"
"2025-04-22","neutral","2"
"2025-04-22","positive","8"
"2025-04-23","neutral","3"
"2025-04-23","positive","3"
"2025-04-24","negative","3"
"2025-04-24","positive","5"
"2025-04-25","negative","3"
"2025-04-25","neutral","2"
"2025-04-25","positive","4"
"2025-04-26","negative","1"
"2025-04-26","neutral","1"
"2025-04-26","positive","4"
"2025-04-27","negative","1"
"2025-04-27","positive","3"
"2025-04-28","negative","2"
"2025-04-28","positive","1"
"2025-04-29","negative","3"
"2025-04-29","neutral","1"
"2025-04-29","positive","3"
"2025-04-30","negative","1"
"2025-04-30","neutral","1"
"2025-04-30","positive","1"
"2025-05-01","positive","9"
"2025-05-02","negative","3"
"2025-05-02","neutral","1"
"2025-05-03","negative","3"
"2025-05-03","neutral","1"
"2025-05-04","negative","1"
"2025-05-04","positive","1"
"2025-05-05","negative","4"
"2025-05-05","positive","1"
"2025-05-06","negative","1"
"2025-05-06","neutral","2"
"2025-05-06","positive","1"
"2025-05-07","neutral","5"
"2025-05-07","positive","1"
"2025-05-08","negative","4"
"2025-05-08","neutral","3"
"2025-05-08","positive","4"
"2025-05-09","neutral","1"
"2025-05-09","positive","3"
